,,prix_au_m2,count,min,max,nom_commune
1280.0,Appartement,5116.751518517213,33,2207.7922077922076,7000.0,Prévessin-Moëns
1280.0,Maison,4682.334938546884,16,2488.6363636363635,7779.563829787234,Prévessin-Moëns
1290.0,Appartement,1343.1446540880504,3,520.0,2509.433962264151,Pont-de-Veyle
1290.0,Maison,1802.279217738275,35,628.9333333333333,3457.8313253012047,Bey
1300.0,Appartement,1864.3642747452059,29,625.0,2833.3333333333335,Peyrieu
1300.0,Maison,1938.0824530629982,77,538.4615384615385,4649.038461538462,Belley
1310.0,Appartement,1986.625,1,1986.625,1986.625,Saint-Rémy
1310.0,Maison,1940.176994514588,29,714.2857142857143,4155.8441558441555,Buellas
1320.0,Appartement,1941.6180886769123,4,1756.7567567567567,2297.2972972972975,Chalamont
1320.0,Maison,2282.211033087925,30,1099.290780141844,4556.521739130435,Villette-sur-Ain
1330.0,Appartement,2391.528403765224,19,1164.2857142857142,3681.818181818182,Le Plantay
1330.0,Maison,2364.838910281747,22,1055.5555555555557,3480.392156862745,Villars-les-Dombes
1340.0,Appartement,1676.6820400400961,5,781.5126050420168,2564.102564102564,Montrevel-en-Bresse
1340.0,Maison,1907.0902655093969,50,696.4285714285714,3604.1666666666665,Jayat
1350.0,Appartement,1729.6557162949568,6,1250.0,2875.0,Culoz
1350.0,Maison,2081.8674507899027,25,540.8163265306123,3939.3939393939395,Ceyzérieu
1360.0,Appartement,2506.0499776791207,7,1666.6666666666667,3064.516129032258,Béligneux
1360.0,Maison,2880.5976114573805,25,1381.3131313131314,4945.652173913043,Béligneux
1370.0,Appartement,1642.3076923076924,1,1642.3076923076924,1642.3076923076924,Saint-Étienne-du-Bois
1370.0,Maison,1858.0053481582281,27,555.5555555555555,5435.937066666667,Meillonnas
1380.0,Maison,1769.8271243385832,34,540.1234567901234,3375.0,Saint-André-de-Bâgé
1390.0,Appartement,2787.249813976646,8,1343.1958762886597,3850.0,Saint-André-de-Corcy
1390.0,Maison,3100.4558544883566,37,1166.6666666666667,5375.0,Mionnay
1400.0,Appartement,2873.132029270579,11,1439.1143911439115,5223.880597014925,Châtillon-sur-Chalaronne
1400.0,Maison,2064.560355152522,40,820.8955223880597,7727.272727272727,Neuville-les-Dames
1410.0,Appartement,2388.3195509050834,16,1339.2857142857142,3125.0,Mijoux
1410.0,Maison,2522.8819379051665,10,558.3756345177665,5913.978494623656,Mijoux
1420.0,Appartement,2913.4460547504027,2,2203.703703703704,3623.1884057971015,Seyssel
1420.0,Maison,3071.3556087891034,15,884.2105263157895,7822.361111111111,Seyssel
1430.0,Appartement,980.6159259400229,3,755.8139534883721,1134.7517730496454,Saint-Martin-du-Frêne
1430.0,Maison,1750.5264067293206,9,839.1608391608391,2933.3333333333335,Peyriat
1440.0,Appartement,2072.232283718085,6,821.0784313725491,2724.137931034483,Viriat
1440.0,Maison,2107.086655108202,16,1072.961373390558,3223.404255319149,Viriat
1450.0,Appartement,1087.8392705682782,2,1022.9007633587786,1152.7777777777778,Poncin
1450.0,Maison,1448.0867694054127,21,541.6666666666666,3200.0,Bolozon
1460.0,Appartement,1657.252057680377,7,824.468085106383,2430.5555555555557,Port
1460.0,Maison,1785.277244402123,12,666.6666666666666,3068.181818181818,Montréal-la-Cluse
1470.0,Appartement,906.5934065934066,1,906.5934065934066,906.5934065934066,Serrières-de-Briord
1470.0,Maison,2047.1848884495732,14,1191.4893617021276,3283.582089552239,Briord
1480.0,Appartement,2553.1060973942535,24,1111.111111111111,3670.9803921568628,Frans
1480.0,Maison,2710.9155252361047,59,755.6310679611651,7325.0,Villeneuve
1500.0,Appartement,2076.8897669903017,34,853.0805687203791,3289.4736842105262,Ambérieu-en-Bugey
1500.0,Maison,2190.670427802112,72,780.952380952381,4042.553191489362,Ambronay
1510.0,Appartement,1959.866318900774,5,976.7441860465116,3237.5,Virieu-le-Grand
1510.0,Maison,1867.8339660779104,26,573.3333333333334,2989.6907216494847,Artemare
1540.0,Appartement,1933.8878891583645,4,981.8181818181819,3442.3076923076924,Vonnas
1540.0,Maison,2009.3595108298248,22,714.2857142857143,3916.6666666666665,Vonnas
1550.0,Appartement,3710.8096283736345,8,1620.0,4829.545454545455,Farges
1550.0,Maison,4095.9858711274533,14,2210.5263157894738,5905.083333333333,Collonges
1560.0,Appartement,851.2396694214876,2,702.4793388429752,1000.0,Saint-Trivier-de-Courtes
1560.0,Maison,1604.1861766478535,21,708.3333333333334,3313.275,Saint-Julien-sur-Reyssouze
1570.0,Appartement,2151.7241379310344,1,2151.7241379310344,2151.7241379310344,Feillens
1570.0,Maison,1862.963805468782,19,773.1958762886597,2833.3333333333335,Feillens
